,y_true,nd_preds,lt_preds,dates
0,61,46.60549917829329,46.60549917829329,2018-01-07
1,84,46.60549917829329,52.06678133366304,2018-01-14
2,88,62.428888611478726,51.528393731543424,2018-01-21
3,105,75.35614754461834,50.9847274338755,2018-01-28
4,86,97.47079865256697,97.47079865256697,2018-02-04
5,84,97.47079865256697,94.17745194097773,2018-02-11
6,111,82.70597089394657,109.06594787547114,2018-02-18
7,117,74.00026014604855,101.5367465280381,2018-02-25
8,117,104.99919031368968,104.99919031368968,2018-03-04
9,107,104.99919031368968,116.74435658595556,2018-03-11
10,91,124.52858608624342,104.08948740727087,2018-03-18
11,122,98.92986667586392,98.24979198767905,2018-03-25
12,75,127.28144113678445,127.28144113678445,2018-04-01
13,90,127.28144113678445,110.42634062310394,2018-04-08
14,115,78.40477025382225,104.32005448703751,2018-04-15
15,95,57.33116588368968,117.97115169914295,2018-04-22
16,169,94.5293977817418,94.5293977817418,2018-04-29
17,120,94.5293977817418,100.87965080289977,2018-05-06
18,195,194.19794224972316,103.40194365479792,2018-05-13
19,185,135.1165448842415,99.86644195752248,2018-05-20
20,87,191.87215530624314,191.87215530624314,2018-05-27
21,135,191.87215530624314,188.96683720643196,2018-06-03
22,173,106.46660490735472,201.50439251577183,2018-06-10
23,129,129.77039624136572,197.70312268336397,2018-06-17
24,120,171.91178144539123,171.91178144539123,2018-06-24
25,153,171.91178144539123,151.6185032685055,2018-07-01
26,122,128.3063651244362,169.14944367474766,2018-07-08
27,65,151.58719032799038,176.5532166493087,2018-07-15
28,118,94.79790638113533,94.79790638113533,2018-07-22
29,176,94.79790638113533,90.23348723762737,2018-07-29
30,227,103.1129867687791,119.8663793015779,2018-08-05
31,194,160.12954293455465,122.58280435955376,2018-08-12
