,y_true,nd_preds,lt_preds,dates
0,93,102.63653321292892,102.63653321292892,2018-01-07
1,161,102.63653321292892,125.21723607221267,2018-01-14
2,150,118.85956065430693,134.82055453398635,2018-01-21
3,157,151.57782462793745,140.5329244189093,2018-01-28
4,183,170.51226162407178,170.51226162407178,2018-02-04
5,172,170.51226162407178,145.81491825488507,2018-02-11
6,153,146.61708926597274,150.10487837005556,2018-02-18
7,170,154.32489522632005,148.11315002071657,2018-02-25
8,193,154.92486686945745,154.92486686945745,2018-03-04
9,193,154.92486686945745,162.5557150543146,2018-03-11
10,192,178.10614701324604,168.5184411966814,2018-03-18
11,174,177.3244627275521,163.60812073654282,2018-03-25
12,148,171.61646233591514,171.61646233591514,2018-04-01
13,164,171.61646233591514,176.3378782954618,2018-04-08
14,142,166.81016337804445,176.02655424832807,2018-04-15
15,100,174.47533181572203,181.43960668102358,2018-04-22
16,170,150.9140638000644,150.9140638000644,2018-04-29
17,123,150.9140638000644,169.49593467890242,2018-05-06
18,156,179.61766952548388,181.46984164338272,2018-05-13
19,139,158.84268994800965,191.61105275025835,2018-05-20
20,65,155.27763941776354,155.27763941776354,2018-05-27
21,83,155.27763941776354,177.3483516155682,2018-06-03
22,75,114.96847579555659,176.64208688623143,2018-06-10
23,131,84.64365631003409,175.39490773041538,2018-06-17
24,112,131.6373856263183,131.6373856263183,2018-06-24
25,105,131.6373856263183,135.53558298443642,2018-07-01
26,120,120.7434324110839,133.76990197242327,2018-07-08
27,67,107.74765840077407,131.3803802496851,2018-07-15
28,94,88.71549424286212,88.71549424286212,2018-07-22
29,142,88.71549424286212,94.39169399797927,2018-07-29
30,152,97.83775958965894,86.7393135061937,2018-08-05
31,130,133.24290525474845,99.25838025333874,2018-08-12
